customer_id,customer_name,city,membership
1001,Customer_1001,Bangalore,Gold
1002,Customer_1002,Lucknow,Silver
1003,Customer_1003,Jaipur,Silver
1004,Customer_1004,Ahmedabad,Silver
1005,Customer_1005,Jaipur,Silver
1006,Customer_1006,Chennai,Silver
1007,Customer_1007,Bangalore,Bronze
1008,Customer_1008,Ahmedabad,Silver
1009,Customer_1009,Pune,Silver
1010,Customer_1010,Ahmedabad,Silver
1011,Customer_1011,Chennai,Silver
1012,Customer_1012,Lucknow,Gold
1013,Customer_1013,Bangalore,Gold
1014,Customer_1014,Pune,Gold
1015,Customer_1015,Chennai,Bronze
1016,Customer_1016,Chennai,Silver
1017,Customer_1017,Hyderabad,Bronze
1018,Customer_1018,Bangalore,Silver
1019,Customer_1019,Ahmedabad,Gold
1020,Customer_1020,Mumbai,Platinum
1021,Customer_1021,Lucknow,Silver
1022,Customer_1022,Mumbai,Silver
1023,Customer_1023,Ahmedabad,Bronze
1024,Customer_1024,Ahmedabad,Gold
1025,Customer_1025,Bangalore,Silver
1026,Customer_1026,Ahmedabad,Silver
1027,Customer_1027,Hyderabad,Silver
1028,Customer_1028,Pune,Silver
1029,Customer_1029,Ahmedabad,Silver
1030,Customer_1030,Mumbai,Gold
1031,Customer_1031,Ahmedabad,Silver
1032,Customer_1032,Hyderabad,Silver
1033,Customer_1033,Jaipur,Bronze
1034,Customer_1034,Jaipur,Silver
1035,Customer_1035,Chennai,Gold
1036,Customer_1036,Lucknow,Gold
1037,Customer_1037,Delhi,Bronze
1038,Customer_1038,Pune,Silver
1039,Customer_1039,Kolkata,Bronze
1040,Customer_1040,Chennai,Gold
1041,Customer_1041,Lucknow,Silver
1042,Customer_1042,Jaipur,Silver
1043,Customer_1043,Mumbai,Bronze
1044,Customer_1044,Kolkata,Gold
1045,Customer_1045,Lucknow,Silver
1046,Customer_1046,Lucknow,Silver
1047,Customer_1047,Chennai,Platinum
1048,Customer_1048,Kolkata,Silver
1049,Customer_1049,Bangalore,Silver
1050,Customer_1050,Delhi,Bronze
1051,Customer_1051,Bangalore,Gold
1052,Customer_1052,Kolkata,Gold
1053,Customer_1053,Bangalore,Platinum
1054,Customer_1054,Hyderabad,Gold
1055,Customer_1055,Jaipur,Gold
1056,Customer_1056,Hyderabad,Silver
1057,Customer_1057,Ahmedabad,Gold
1058,Customer_1058,Bangalore,Bronze
1059,Customer_1059,Ahmedabad,Bronze
1060,Customer_1060,Mumbai,Silver
1061,Customer_1061,Pune,Bronze
1062,Customer_1062,Mumbai,Silver
1063,Customer_1063,Kolkata,Silver
1064,Customer_1064,Lucknow,Gold
1065,Customer_1065,Jaipur,Gold
1066,Customer_1066,Bangalore,Silver
1067,Customer_1067,Chennai,Bronze
1068,Customer_1068,Pune,Gold
1069,Customer_1069,Delhi,Bronze
1070,Customer_1070,Delhi,Silver
1071,Customer_1071,Delhi,Platinum
1072,Customer_1072,Bangalore,Bronze
1073,Customer_1073,Delhi,Silver
1074,Customer_1074,Hyderabad,Gold
1075,Customer_1075,Pune,Silver
1076,Customer_1076,Hyderabad,Platinum
1077,Customer_1077,Lucknow,Silver
1078,Customer_1078,Pune,Gold
1079,Customer_1079,Hyderabad,Gold
1080,Customer_1080,Pune,Bronze
1081,Customer_1081,Lucknow,Silver
1082,Customer_1082,Ahmedabad,Gold
1083,Customer_1083,Bangalore,Gold
1084,Customer_1084,Bangalore,Bronze
1085,Customer_1085,Delhi,Gold
1086,Customer_1086,Mumbai,Gold
1087,Customer_1087,Delhi,Platinum
1088,Customer_1088,Kolkata,Platinum
1089,Customer_1089,Hyderabad,Silver
1090,Customer_1090,Pune,Silver
1091,Customer_1091,Mumbai,Gold
1092,Customer_1092,Lucknow,Silver
1093,Customer_1093,Kolkata,Gold
1094,Customer_1094,Lucknow,Bronze
1095,Customer_1095,Bangalore,Bronze
1096,Customer_1096,Bangalore,Gold
1097,Customer_1097,Delhi,Bronze
1098,Customer_1098,Hyderabad,Silver
1099,Customer_1099,Mumbai,Gold
1100,Customer_1100,Jaipur,Gold
